table,variable,value,label
hh,num_workers,5,5 workers
hh,num_workers,6,6 workers
hh,num_workers,7,7 workers
hh,num_workers,8,8 workers
hh,num_workers,9,9 workers
hh,num_workers,10,10 workers
hh,num_workers,11,11 workers
hh,num_workers,12,12 workers
hh,num_workers,13,13 or more workers
hh,num_workers,995,Missing Response
hh,num_students,0,0 (No students)
hh,num_students,1,1 student
hh,num_students,2,2 students
hh,num_students,3,3 students
hh,num_students,4,4 students
hh,num_students,5,5 students
hh,num_students,6,6 students
hh,num_students,7,7 students
hh,num_students,8,8 students
hh,num_students,9,9 students
hh,num_students,10,10 students
hh,num_students,11,11 students
hh,num_students,12,12 students
hh,num_students,13,13 or more students
hh,num_students,995,Missing Response
hh,num_vehicles,0,0 (no vehicles in household)
hh,num_vehicles,1,1 vehicle
hh,num_vehicles,2,2 vehicles
hh,num_vehicles,3,3 vehicles
hh,num_vehicles,4,4 vehicles
hh,num_vehicles,5,5 vehicles
hh,num_vehicles,6,6 vehicles
hh,num_vehicles,7,7 vehicles
hh,num_vehicles,8,8 or more vehicles
hh,income_detailed,1,"Less than $15,000"
hh,income_detailed,2,"$15,000-$24,999"
hh,income_detailed,3,"$25,000-$34,999"
hh,income_detailed,4,"$35,000-$49,999"
hh,income_detailed,5,"$50,000-$74,999"
hh,income_detailed,6,"$75,000-$99,999"
hh,income_detailed,7,"$100,000-$149,999"
hh,income_detailed,8,"$150,000-$199,999"
hh,income_detailed,9,"$200,000-$249,999"
hh,income_detailed,10,"$250,000 or more"
hh,income_detailed,999,Prefer not to answer
hh,income_followup,1,"Under $25,000"
hh,income_followup,2,"$25,000-$49,999"
hh,income_followup,3,"$50,000-$74,999"
hh,income_followup,4,"$75,000-$99,999"
hh,income_followup,5,"$100,000-$199,999"
hh,income_followup,6,"$200,000 or more"
hh,income_followup,995,Missing Response
hh,income_followup,999,Prefer not to answer
hh,income_broad,1,"Under $25,000"
hh,income_broad,2,"$25,000-$49,999"
hh,income_broad,3,"$50,000-$74,999"
hh,income_broad,4,"$75,000-$99,999"
hh,income_broad,5,"$100,000-$199,999"
hh,income_broad,6,"$200,000 or more"
hh,income_broad,995,Missing Response
hh,income_broad,999,Prefer not to answer
hh,home_in_region,0,No
hh,home_in_region,1,Yes
hh,home_state,04,Arizona
hh,home_state,16,Idaho
hh,home_state,32,Nevada
hh,home_state,49,Utah
hh,home_county,04003,"Cochise County, AZ"
hh,home_county,16019,"Bonneville County, ID"
hh,home_county,16037,"Custer County, ID"
hh,home_county,16077,"Power County, ID"
hh,home_county,16085,"Valley County, ID"
hh,home_county,32003,"Clark County, NV"
hh,home_county,32007,"Elko County, NV"
hh,home_county,49001,Beaver County
hh,home_county,49003,Box Elder County
hh,home_county,49005,Cache County
hh,home_county,49007,Carbon County
hh,home_county,49009,Daggett County
hh,home_county,49011,Davis County
hh,home_county,49013,Duchesne County
hh,home_county,49015,Emery County
hh,home_county,49017,Garfield County
hh,home_county,49019,Grand County
hh,home_county,49021,Iron County
hh,home_county,49023,Juab County
hh,home_county,49025,Kane County
hh,home_county,49027,Millard County
hh,home_county,49029,Morgan County
hh,home_county,49031,Piute County
hh,home_county,49033,Rich County
hh,home_county,49035,Salt Lake County
hh,home_county,49037,San Juan County
hh,home_county,49039,Sanpete County
hh,home_county,49041,Sevier County
hh,home_county,49043,Summit County
hh,home_county,49045,Tooele County
hh,home_county,49047,Uintah County
hh,home_county,49049,Utah County
hh,home_county,49051,Wasatch County
hh,home_county,49053,Washington County
hh,home_county,49055,Wayne County
hh,home_county,49057,Weber County
hh,sample_segment,1,"Box Elder, Tooele, and Juab-General"
hh,sample_segment,2,"Box Elder, Tooele, and Juab-Hard-to-survey"
hh,sample_segment,3,"Box Elder, Tooele, and Juab-Walk/Bike/Transit"
hh,sample_segment,4,Cache-General
hh,sample_segment,5,Cache-Hard-to-survey
hh,sample_segment,6,Cache-Walk/Bike/Transit
hh,sample_segment,7,Davis-General
hh,sample_segment,8,Davis-Hard-to-survey
hh,sample_segment,9,Davis-Walk/Bike/Transit
hh,sample_segment,10,Iron-General
hh,sample_segment,11,Iron-Hard-to-survey
hh,sample_segment,12,Iron-Walk/Bike/Transit
hh,sample_segment,13,"Morgan, Summit, and Wasatch-General"
hh,sample_segment,14,"Morgan, Summit, and Wasatch-Hard-to-survey"
hh,sample_segment,15,"Morgan, Summit, and Wasatch-Walk/Bike/Transit"
hh,sample_segment,16,Salt Lake-General
hh,sample_segment,17,Salt Lake-Hard-to-survey
hh,sample_segment,18,Salt Lake-Walk/Bike/Transit
hh,sample_segment,19,Utah-General
hh,sample_segment,20,Utah-Hard-to-survey
hh,sample_segment,21,Utah-Walk/Bike/Transit
hh,sample_segment,22,Washington-General
hh,sample_segment,23,Washington-Hard-to-survey
hh,sample_segment,24,Washington-Walk/Bike/Transit
hh,sample_segment,25,Weber-General
hh,sample_segment,26,Weber-Hard-to-survey
hh,sample_segment,27,Weber-Walk/Bike/Transit
hh,sample_segment,28,All other counties-General
hh,sample_segment,29,All other counties-Hard-to-survey
hh,sample_segment,30,All other counties-Walk/Bike/Transit
hh,sample_segment,31,University
hh,sample_segment,32,Supplemental
hh,student_housing,1,On-campus housing
hh,student_housing,2,Off-campus housing
hh,student_housing,995,Missing Response
hh,residence_months_0,0,Not selected
hh,residence_months_0,1,Selected
hh,residence_months_0,995,Missing Response
hh,residence_months_1,0,Not selected
hh,residence_months_1,1,Selected
hh,residence_months_1,995,Missing Response
hh,residence_months_2,0,Not selected
hh,residence_months_2,1,Selected
hh,residence_months_2,995,Missing Response
hh,residence_months_3,0,Not selected
hh,residence_months_3,1,Selected
hh,residence_months_3,995,Missing Response
hh,residence_months_4,0,Not selected
hh,residence_months_4,1,Selected
hh,residence_months_4,995,Missing Response
hh,residence_months_5,0,Not selected
hh,residence_months_5,1,Selected
hh,residence_months_5,995,Missing Response
hh,residence_months_6,0,Not selected
hh,residence_months_6,1,Selected
hh,residence_months_6,995,Missing Response
hh,residence_months_7,0,Not selected
hh,residence_months_7,1,Selected
hh,residence_months_7,995,Missing Response
hh,residence_months_8,0,Not selected
hh,residence_months_8,1,Selected
hh,residence_months_8,995,Missing Response
hh,residence_months_9,0,Not selected
hh,residence_months_9,1,Selected
hh,residence_months_9,995,Missing Response
hh,residence_months_10,0,Not selected
hh,residence_months_10,1,Selected
hh,residence_months_10,995,Missing Response
hh,residence_months_11,0,Not selected
hh,residence_months_11,1,Selected
hh,residence_months_11,995,Missing Response
hh,residence_months_12,0,Not selected
hh,residence_months_12,1,Selected
hh,residence_months_12,995,Missing Response
hh,residence_dur,1,Less than 1 year
hh,residence_dur,2,1-5 years
hh,residence_dur,3,6-10 years
hh,residence_dur,4,11-15 years
hh,residence_dur,5,16-20 years
hh,residence_dur,6,More than 20 years
hh,residence_dur,995,Missing Response
hh,res_type,1,Single-family house (detached house)
hh,res_type,2,Single-family house attached to one or more houses (rowhouse or townhouse)
hh,res_type,3,"Building with 2-4 units (duplexes, triplexes, quads, not age-restricted)"
hh,res_type,4,Building with 5-49 apartments/condos (not age-restricted)
hh,res_type,5,Building with 50 or more apartments/condos (not age-restricted)
hh,res_type,6,Senior or age-restricted apartments/condos
hh,res_type,7,Manufactured home/mobile home/trailer
hh,res_type,8,"Dorm, group quarters, or institutional housing"
hh,res_type,9,"Other (e.g., boat, RV, van)"
hh,res_type,995,Missing Response
hh,residence_rent_own,1,Own home or paying a mortgage
hh,residence_rent_own,2,Rent
hh,residence_rent_own,3,Housing provided by job or military
hh,residence_rent_own,4,"Provided by family, relative, or friend without payment or rent"
hh,residence_rent_own,995,Missing Response
hh,residence_rent_own,997,Other
hh,residence_rent_own,999,Prefer not to answer
hh,seasonal_res,0,"No, I don’t own a secondary or vacation home anywhere."
hh,seasonal_res,1,"Yes, I own a secondary or vacation home and am currently staying there."
hh,seasonal_res,2,"Yes, I own a secondary or vacation home and am not currently staying there."
hh,seasonal_res,995,Missing Response
hh,seasonal_res_in_region,0,No
hh,seasonal_res_in_region,1,Yes
hh,seasonal_res_in_region,995,Missing response
hh,seasonal_res_state,01,Alabama
hh,seasonal_res_state,02,Alaska
hh,seasonal_res_state,04,Arizona
hh,seasonal_res_state,06,California
hh,seasonal_res_state,08,Colorado
hh,seasonal_res_state,09,Connecticut
hh,seasonal_res_state,12,Florida
hh,seasonal_res_state,13,Georgia
hh,seasonal_res_state,15,Hawaii
hh,seasonal_res_state,16,Idaho
hh,seasonal_res_state,17,Illinois
hh,seasonal_res_state,18,Indiana
hh,seasonal_res_state,19,Iowa
hh,seasonal_res_state,21,Kentucky
hh,seasonal_res_state,22,Louisiana
hh,seasonal_res_state,23,Maine
hh,seasonal_res_state,24,Maryland
hh,seasonal_res_state,25,Massachusetts
hh,seasonal_res_state,27,Michigan
hh,seasonal_res_state,29,Minnesota
hh,seasonal_res_state,30,Montana
hh,seasonal_res_state,31,Nebraska
hh,seasonal_res_state,32,Nevada
hh,seasonal_res_state,33,New Hampshire
hh,seasonal_res_state,34,New Jersey
hh,seasonal_res_state,35,New Mexico
hh,seasonal_res_state,36,New York
hh,seasonal_res_state,37,North Carolina
hh,seasonal_res_state,39,Ohio
hh,seasonal_res_state,40,Oklahoma
hh,seasonal_res_state,41,Oregon
hh,seasonal_res_state,42,Pennsylvania
hh,seasonal_res_state,44,Rhode Island
hh,seasonal_res_state,45,South Carolina
hh,seasonal_res_state,47,Tennessee
hh,seasonal_res_state,48,Texas
hh,seasonal_res_state,49,Utah
hh,seasonal_res_state,50,Vermont
hh,seasonal_res_state,51,Virginia
hh,seasonal_res_state,53,Washington
hh,seasonal_res_state,56,Wyoming
hh,seasonal_res_state,72,Puerto Rico
hh,seasonal_res_state,995,Missing response
hh,seasonal_res_county,995,Missing Response
hh,seasonal_res_county,49001,Beaver County
hh,seasonal_res_county,49003,Box Elder County
hh,seasonal_res_county,49005,Cache County
hh,seasonal_res_county,49007,Carbon County
hh,seasonal_res_county,49011,Davis County
hh,seasonal_res_county,49013,Duchesne County
hh,seasonal_res_county,49015,Emery County
hh,seasonal_res_county,49017,Garfield County
hh,seasonal_res_county,49019,Grand County
hh,seasonal_res_county,49021,Iron County
hh,seasonal_res_county,49025,Kane County
hh,seasonal_res_county,49027,Millard County
hh,seasonal_res_county,49029,Morgan County
hh,seasonal_res_county,49033,Rich County
hh,seasonal_res_county,49035,Salt Lake County
hh,seasonal_res_county,49037,San Juan County
hh,seasonal_res_county,49039,Sanpete County
hh,seasonal_res_county,49041,Sevier County
hh,seasonal_res_county,49043,Summit County
hh,seasonal_res_county,49045,Tooele County
hh,seasonal_res_county,49047,Uintah County
hh,seasonal_res_county,49049,Utah County
hh,seasonal_res_county,49051,Wasatch County
hh,seasonal_res_county,49053,Washington County
hh,seasonal_res_county,49055,Wane County
hh,seasonal_res_county,49057,Weber County
hh,num_bicycles,0,0 (none working/no bicycles in household)
hh,num_bicycles,1,1 member
hh,num_bicycles,2,2 members
hh,num_bicycles,3,3 members
hh,num_bicycles,4,4 members
hh,num_bicycles,5,5 members
hh,num_bicycles,6,6 members
hh,num_bicycles,7,7 members
hh,num_bicycles,8,8 members
hh,num_bicycles,9,9 members
hh,num_bicycles,10,10 members
hh,num_bicycles,11,11 members
hh,num_bicycles,12,12 members
hh,num_bicycles,13,13 or more members
hh,num_bicycles,995,Missing Response
hh,broadband,1,Cable
hh,broadband,2,Fiber optic
hh,broadband,3,DSL from landline phone company
hh,broadband,4,"Mobile phone provider (e.g., LTE, 4G, 5G)"
hh,broadband,5,"Fixed wireless provider (e.g., point-to-point antenna)"
hh,broadband,7,Internet service is not available at my current residence location
hh,broadband,8,"Internet service is available, but my household chooses not to subscribe"
hh,broadband,995,Missing Response
hh,broadband,997,Other
hh,broadband,999,Prefer not to answer
hh,transit_more_1,0,Not selected
hh,transit_more_1,1,Selected
hh,transit_more_1,995,Missing response
hh,transit_more_2,0,Not selected
hh,transit_more_2,1,Selected
hh,transit_more_2,995,Missing response
hh,transit_more_3,0,Not selected
hh,transit_more_3,1,Selected
hh,transit_more_3,995,Missing response
hh,transit_more_4,0,Not selected
hh,transit_more_4,1,Selected
hh,transit_more_4,995,Missing response
hh,transit_more_5,0,Not selected
hh,transit_more_5,1,Selected
hh,transit_more_5,995,Missing response
hh,transit_more_6,0,Not selected
hh,transit_more_6,1,Selected
hh,transit_more_6,995,Missing response
hh,transit_more_7,0,Not selected
hh,transit_more_7,1,Selected
hh,transit_more_7,995,Missing response
hh,transit_more_997,0,Not selected
hh,transit_more_997,1,Selected
hh,transit_more_997,995,Missing response
hh,transit_more_999,0,Not selected
hh,transit_more_999,1,Selected
hh,transit_more_999,995,Missing response
hh,bike_more_1,0,Not selected
hh,bike_more_1,1,Selected
hh,bike_more_1,995,Missing response
hh,bike_more_2,0,Not selected
hh,bike_more_2,1,Selected
hh,bike_more_2,995,Missing response
hh,bike_more_3,0,Not selected
hh,bike_more_3,1,Selected
hh,bike_more_3,995,Missing response
hh,bike_more_4,0,Not selected
hh,bike_more_4,1,Selected
hh,bike_more_4,995,Missing response
hh,bike_more_5,0,Not selected
hh,bike_more_5,1,Selected
hh,bike_more_5,995,Missing response
hh,bike_more_6,0,Not selected
hh,bike_more_6,1,Selected
hh,bike_more_6,995,Missing response
hh,bike_more_7,0,Not selected
hh,bike_more_7,1,Selected
hh,bike_more_7,995,Missing response
hh,bike_more_8,0,Not selected
hh,bike_more_8,1,Selected
hh,bike_more_8,995,Missing response
hh,bike_more_996,0,Not selected
hh,bike_more_996,1,Selected
hh,bike_more_996,995,Missing response
hh,bike_more_997,0,Not selected
hh,bike_more_997,1,Selected
hh,bike_more_997,995,Missing response
person,person_num,1,Person 1
person,person_num,2,Person 2
person,person_num,3,Person 3
person,person_num,4,Person 4
person,person_num,5,Person 5
person,person_num,6,Person 6
person,person_num,7,Person 7
person,person_num,8,Person 8
person,person_num,9,Person 9
person,person_num,10,Person 10
person,person_num,11,Person 11
person,person_num,12,Person 12
person,person_num,13,Person 13
person,person_num,995,Missing Response
person,surveyable,0,No
person,surveyable,1,Yes
person,is_participant,0,No
person,is_participant,1,Yes
person,relationship,0,Self
person,relationship,1,"Spouse, partner"
person,relationship,2,"Child, child in-law"
person,relationship,3,"Parent, parent in-law"
person,relationship,4,"Sibling, sibling in-law"
person,relationship,5,"Other relative (grandchild, cousin)"
person,relationship,6,"Nonrelative (friend, roommate, household help)"
person,age,1,Under 5
person,age,2,5-15
person,age,3,16-17
person,age,4,18-24
person,age,5,25-34
person,age,6,35-44
person,age,7,45-54
person,age,8,55-64
person,age,9,65-74
person,age,10,75-84
person,age,11,85 or older
person,employment,1,"Employed full-time (35 or more hours per week, paid)"
person,employment,2,"Employed part-time (less than 35 hours per week, paid)"
person,employment,3,Self-employed
person,employment,5,"Not employed and not looking for work (e.g., retired, stay-at-home parent, student)"
person,employment,6,Unemployed and looking for work
person,employment,7,Unpaid volunteer or intern
person,employment,8,"Employed, but not currently working (e.g., on leave, furloughed 100%)"
person,employment,995,Missing Response
person,num_jobs,1,1 job
person,num_jobs,2,2 jobs
person,num_jobs,3,3 jobs
person,num_jobs,4,4 jobs
person,num_jobs,5,5 jobs
person,num_jobs,6,6 or more
person,num_jobs,995,Missing Response
person,job_type,1,Go to one work location ONLY (outside of home)
person,job_type,2,Work location regularly varies (different offices/jobsites)
person,job_type,3,"Work ONLY from home or remotely (telework, self-employed)"
person,job_type,4,"Drive/bike/travel for work (driver, sales, deliveries)"
person,job_type,5,Telework some days and travel to a work location some days
person,job_type,995,Missing Response
person,student,0,"Full-time student, currently attending some or all classes in-person"
person,student,1,"Part-time student, currently attending some or all classes in-person"
person,student,2,Not a student
person,student,3,"Part-time student, ONLY online classes"
person,student,4,"Full-time student, ONLY online classes"
person,student,995,Missing Response
person,school_type,1,Cared for at home (no school)
person,school_type,2,Daycare outside home
person,school_type,3,Preschool
person,school_type,5,"Elementary school (public, private, charter)"
person,school_type,6,"Middle school (public, private, charter)"
person,school_type,7,"High school (public, private, charter)"
person,school_type,10,Vocational/technical school
person,school_type,11,2-year college
person,school_type,12,4-year college
person,school_type,13,Graduate or professional school
person,school_type,995,Missing Response
person,school_type,997,Other
person,school_type_2,1,Home School
person,school_type_2,2,Public (in-person)
person,school_type_2,3,Public (online)
person,school_type_2,4,Private (in-person)
person,school_type_2,5,Private (online)
person,school_type_2,6,Charter (in-person)
person,school_type_2,7,Charter (online)
person,school_type_2,995,Missing Response
person,school_type_2,998,Don't Know
person,second_home,0,Does not regularly spend night at second home
person,second_home,1,Regularly spends night at second home
person,second_home,995,Missing Response
person,second_home_in_region,0,No
person,second_home_in_region,1,Yes
person,second_home_state,04,Arizona
person,second_home_state,08,Colorado
person,second_home_state,16,Idaho
person,second_home_state,32,Nevada
person,second_home_state,49,Utah
person,second_home_state,56,Wyoming
person,second_home_state,995,Missing response
person,second_home_county,995,Missing response
person,second_home_county,04005,"Coconino County, AZ"
person,second_home_county,04013,"Maricopa County, AZ"
person,second_home_county,04015,"Mohave County, AZ"
person,second_home_county,08037,"Eagle County, CO"
person,second_home_county,08059,"Jefferson County, CO"
person,second_home_county,08077,"Mesa County, CO"
person,second_home_county,16001,"Ada County, ID"
person,second_home_county,16005,"Bannock County, ID"
person,second_home_county,16007,"Bear Lake County, ID"
person,second_home_county,16011,"Bingham County, ID"
person,second_home_county,16019,"Bonneville County, ID"
person,second_home_county,16027,"Canyon County, ID"
person,second_home_county,16029,"Caribou County, ID"
person,second_home_county,16031,"Cassia County, ID"
person,second_home_county,16041,"Franklin County, ID"
person,second_home_county,16043,"Fremont County, ID"
person,second_home_county,16051,"Jefferson County, ID"
person,second_home_county,16077,"Power County, ID"
person,second_home_county,32003,"Clark County, NV"
person,second_home_county,32007,"Elko County, NV"
person,second_home_county,32013,"Humboldt County, NV"
person,second_home_county,32023,"Nye County, NV"
person,second_home_county,49001,Beaver County
person,second_home_county,49003,Box Elder County
person,second_home_county,49005,Cache County
person,second_home_county,49007,Carbon County
person,second_home_county,49009,Daggett County
person,second_home_county,49011,Davis County
person,second_home_county,49013,Duchesne County
person,second_home_county,49015,Emery County
person,second_home_county,49017,Garfield County
person,second_home_county,49019,Grand County
person,second_home_county,49021,Iron County
person,second_home_county,49023,Juab County
person,second_home_county,49025,Kane County
person,second_home_county,49027,Millard County
person,second_home_county,49029,Morgan County
person,second_home_county,49031,Piute County
person,second_home_county,49033,Rich County
person,second_home_county,49035,Salt Lake County
person,second_home_county,49037,San Juan County
person,second_home_county,49039,Sanpete County
person,second_home_county,49041,Sevier County
person,second_home_county,49043,Summit County
person,second_home_county,49045,Tooele County
person,second_home_county,49047,Uintah County
person,second_home_county,49049,Utah County
person,second_home_county,49051,Wasatch County
person,second_home_county,49053,Washington County
person,second_home_county,49055,Wayne County
person,second_home_county,49057,Weber County
person,second_home_county,56041,"Uinta County, WY"
person,work_in_region,0,No
person,work_in_region,1,Yes
person,work_in_region,995,Missing response
person,work_state,04,Arizona
person,work_state,08,Colorado
person,work_state,16,Idaho
person,work_state,32,Nevada
person,work_state,49,Utah
person,work_state,56,Wyoming
person,work_state,995,Missing response
person,work_county,995,Missing response
person,work_county,04003,"Cochise County, AZ"
person,work_county,04005,"Coconino County, AZ"
person,work_county,04015,"Mohave County, AZ"
person,work_county,04025,"Yavapai County, AZ"
person,work_county,08041,"El Paso County, CO"
person,work_county,08103,"Rio Blanco County, CO"
person,work_county,16005,"Bannock County, ID"
person,work_county,16019,"Bonneville County, ID"
person,work_county,16041,"Franklin County, ID"
person,work_county,32003,"Clark County, NV"
person,work_county,32007,"Elko County, NV"
person,work_county,32023,"Sagadahoc County, NV"
person,work_county,49001,Beaver County
person,work_county,49003,Box Elder County
person,work_county,49005,Cache County
person,work_county,49007,Carbon County
person,work_county,49009,Daggett County
person,work_county,49011,Davis County
person,work_county,49013,Duchesne County
person,work_county,49015,Emery County
person,work_county,49017,Garfield County
person,work_county,49019,Grand County
person,work_county,49021,Iron County
person,work_county,49023,Juab County
person,work_county,49025,Kane County
person,work_county,49027,Millard County
person,work_county,49029,Morgan County
person,work_county,49031,Piute County
person,work_county,49033,Rich County
person,work_county,49035,Salt Lake County
person,work_county,49037,San Juan County
person,work_county,49039,Sanpete County
person,work_county,49041,Sevier County
person,work_county,49043,Summit County
person,work_county,49045,Tooele County
person,work_county,49047,Uintah County
person,work_county,49049,Utah County
person,work_county,49051,Wasatch County
person,work_county,49053,Washington County
person,work_county,49055,Wayne County
person,work_county,49057,Weber County
person,work_county,56035,"Sublette County, WY"
person,school_in_region,0,No
person,school_in_region,1,Yes
person,school_in_region,995,Missing response
person,school_state,04,Arizona
person,school_state,08,Colorado
person,school_state,16,Idaho
person,school_state,32,Nevada
person,school_state,49,Utah
person,school_state,56,Wyoming
person,school_state,995,Missing response
person,school_county,995,Missing response
person,school_county,04003,"Cochise County, AZ"
person,school_county,04019,"Pima County, AZ"
person,school_county,08005,"Arapahoe County, CO"
person,school_county,08069,"Larimer County, CO"
person,school_county,08077,"Mesa County, CO"
person,school_county,16019,"Bonneville County, ID"
person,school_county,16027,"Canyon County, ID"
person,school_county,16031,"Cassia County, ID"
person,school_county,16041,"Franklin County, ID"
person,school_county,16065,"Madison County, ID"
person,school_county,16085,"Valley County, ID"
person,school_county,32003,"Clark County, NV"
person,school_county,49001,Beaver County
person,school_county,49003,Box Elder County
person,school_county,49005,Cache County
person,school_county,49007,Carbon County
person,school_county,49009,Daggett County
person,school_county,49011,Davis County
person,school_county,49013,Duchesne County
person,school_county,49015,Emery County
person,school_county,49017,Garfield County
person,school_county,49019,Grand County
person,school_county,49021,Iron County
person,school_county,49023,Juab County
person,school_county,49025,Kane County
person,school_county,49027,Millard County
person,school_county,49029,Morgan County
person,school_county,49031,Piute County
person,school_county,49033,Rich County
person,school_county,49035,Salt Lake County
person,school_county,49037,San Juan County
person,school_county,49039,Sanpete County
person,school_county,49041,Sevier County
person,school_county,49043,Summit County
person,school_county,49045,Tooele County
person,school_county,49047,Uintah County
person,school_county,49049,Utah County
person,school_county,49051,Wasatch County
person,school_county,49053,Washington County
person,school_county,49055,Wayne County
person,school_county,49057,Weber County
person,school_county,56001,"Albany County, WY"
person,ethnicity_1,0,Not selected
person,ethnicity_1,1,Selected
person,ethnicity_1,995,Missing Response
person,ethnicity_2,0,Not selected
person,ethnicity_2,1,Selected
person,ethnicity_2,995,Missing Response
person,ethnicity_3,0,Not selected
person,ethnicity_3,1,Selected
person,ethnicity_3,995,Missing Response
person,ethnicity_4,0,Not selected
person,ethnicity_4,1,Selected
person,ethnicity_4,995,Missing Response
person,ethnicity_997,0,Not selected
person,ethnicity_997,1,Selected
person,ethnicity_997,995,Missing Response
person,ethnicity_999,0,Not selected
person,ethnicity_999,1,Selected
person,ethnicity_999,995,Missing Response
person,race_1,0,Not selected
person,race_1,1,Selected
person,race_1,995,Missing Response
person,race_2,0,Not selected
person,race_2,1,Selected
person,race_2,995,Missing Response
person,race_3,0,Not selected
person,race_3,1,Selected
person,race_3,995,Missing Response
person,race_4,0,Not selected
person,race_4,1,Selected
person,race_4,995,Missing Response
person,race_5,0,Not selected
person,race_5,1,Selected
person,race_5,995,Missing Response
person,race_997,0,Not selected
person,race_997,1,Selected
person,race_997,995,Missing Response
person,race_999,0,Not selected
person,race_999,1,Selected
person,race_999,995,Missing Response
person,gender,1,Female
person,gender,2,Male
person,gender,3,Non-binary
person,gender,995,Missing Response
person,gender,997,Other/prefer to self-describe
person,gender,999,Prefer not to answer
person,can_drive,1,"Yes, drives"
person,can_drive,3,"No, does not drive"
person,can_drive,995,Missing Response
person,work_freq,1,6-7 days a week
person,work_freq,2,5 days a week
person,work_freq,3,4 days a week
person,work_freq,4,3 days a week
person,work_freq,5,2 days a week
person,work_freq,6,1 day a week
person,work_freq,995,Missing Response
person,commute_freq,1,6-7 days a week
person,commute_freq,2,5 days a week
person,commute_freq,3,4 days a week
person,commute_freq,4,3 days a week
person,commute_freq,5,2 days a week
person,commute_freq,6,1 day a week
person,commute_freq,7,1-3 days a month
person,commute_freq,8,Less than monthly
person,commute_freq,995,Missing Response
person,commute_freq,996,Never
person,telework_freq,1,6-7 days a week
person,telework_freq,2,5 days a week
person,telework_freq,3,4 days a week
person,telework_freq,4,3 days a week
person,telework_freq,5,2 days a week
person,telework_freq,6,1 day a week
person,telework_freq,7,1-3 days a month
person,telework_freq,8,Less than monthly
person,telework_freq,995,Missing Response
person,telework_freq,996,Never
person,work_mode,1,Walk (or jog/wheelchair)
person,work_mode,100,Household vehicle (or motorcycle)
person,work_mode,101,"Other vehicle (e.g., friend's car, rental, work car)"
person,work_mode,102,"Bus, shuttle, or vanpool"
person,work_mode,103,Bicycle or e-bicycle (personal or bikeshare)
person,work_mode,104,Other
person,work_mode,105,"Rail (e.g., light rail, commuter rail)"
person,work_mode,106,"Uber/Lyft, taxi, or car service"
person,work_mode,107,"Micromobility (e.g., scooter, moped, skateboard)"
person,work_mode,995,Missing Response
person,work_vehicle_park,1,Parking lot/garage
person,work_vehicle_park,2,On-street parking
person,work_vehicle_park,3,Park & Ride lot
person,work_vehicle_park,4,"Don't park (e.g., get dropped off)"
person,work_vehicle_park,995,Missing Response
person,work_vehicle_park,997,Other
person,work_vehicle_park_pay,1,"Parking is always free at/near work, at Park & Ride, etc."
