NAME_New,ROUTEID,LONGNAME,NAME,numRecords,minYear,maxYear,minMode,NAMEwithZeros
SL062,062,062 - 6200 South,S62,54,2019,2050,4,S062
SL072,072,072 - 7200 South,S72,28,2019,2050,4,S072
SL094F,F094,F094 - Sandy Flex,SF94,28,2019,2050,4,SF94
SL200,200,200 - State Street North,S200,30,2019,2050,4,S200
SL201,201,201 - State Street South,S201,44,2019,2050,4,S201
SL202F,F202,F202 - Bingham Junction Flex,SF202,50,2023,2050,4,SF202
SL205,205,205 - 500 East,S205,28,2019,2050,4,S205
SL209,209,209 - 900 East,S209,28,2019,2050,4,S209
SL213,213,213 - 1300 East-1100 East,S213,29,2019,2050,4,S213
SL217,217,217 - Redwood Road,S217,14,2019,2050,4,S217
SL218,218,218 - Sandy - South Jordan,S218,28,2019,2050,4,S218
SL220,220,220 - Highland Drive-1300 East,S220,32,2019,2050,4,S220
SL223,223,223 - 2300 East-Holladay Blvd,S223,39,2019,2050,4,S223
SL227,227,227 - 2700 West,S227,28,2019,2050,4,S227
SL232,232,232 - 3200 West,S232,14,2019,2050,4,S232
SL232F,F232,F232 - 3200 W Flex,SF232,50,2023,2050,4,SF232
SL236,236,236 - 3600 West,S236,23,2028,2050,4,S236
SL240,240,240 - 4000 West-Dixie Valley,S240,28,2019,2050,4,S240
SL248,248,248 - 4800 West,S248,41,2019,2050,4,S248
SL307X,307X,307X - Cottonwood Heights Fast Bus,S307X,30,2019,2050,4,S307X
SL313X,313X,313X - South Valley / UofU Fast Bus,S313X,30,2019,2050,4,S313X
SL320X,320X,320 - Highland Drive Fast Bus,S320X,30,2019,2050,4,S320X
SL354X,354X,354X - Sandy - UofU Fast Bus,S354X,30,2019,2050,4,S354X
SL307X,307X,307X - Cottonwood Heights Fast Bus,S307X,30,2019,2050,4,S307
SL313X,313X,313X - South Valley / UofU Fast Bus,S313X,30,2019,2050,4,S313
SL320X,320X,320 - Highland Drive Fast Bus,S320X,30,2019,2050,4,S320
SL354X,354X,354X - Sandy - UofU Fast Bus,S354X,30,2019,2050,4,S354
SL453F,F453,F453 - Tooele-SLC Flex,SF453,32,2019,2050,4,SF453
SL455,455,455 - UofU-Davis County-Weber State University,S455,32,2019,2050,4,S455
SL456,456,456 - Ogden - Unisys - Rocky Mtn Express,S456,15,2019,2050,6,S456
SL463,463,463 - West Bountiful,S463,7,2019,2050,4,S463
SL470,470,470 - Ogden-Salt Lake Intercity,S470,22,2019,2050,4,S470
SL471,471,471 - Centerville,S471,30,2019,2050,4,S471
SL504F,F504,F504 - South Jordan Flex,SF504,8,2019,2024,4,SF504
SL509,509,509 - 900 W Shuttle,S509,64,2019,2050,4,S509
SL513,513,513 - Industrial Business Park Shuttle,S513,64,2019,2050,4,S513
SL514F,F514,F514 - Jordan Gateway Flex,SF514,64,2019,2050,4,SF514
SL518F,F518,F518 - Riverton Flex,SF518,14,2019,2050,4,SF518
SL519,519,519/520 - Fairpark / Rose Park,S519/520,7,2019,2050,4,S519/520
SL522F,F522,F522 - 2200 W Flex,SF522,14,2019,2050,4,SF522
SL525,525,525 - Midvale - Shuttle,S525,7,2019,2050,4,S525
SL525F,F525,F525 - Midvale Flex,SF525,50,2023,2050,4,SF525
SL526,526,526 - 12600 South,S526,14,2019,2050,4,S526
SL534F,F534,F534 - Herriman Flex Shuttle,SF534,7,2019,2050,4,SF534
SL546F,F546,F546 - Draper Flex,SF546,14,2019,2050,4,SF546
SL547F,F547,F547 - Herriman Flex,SF547,7,2019,2050,4,SF547
SL551,551,551 - International Center,S551,17,2019,2050,4,S551
SL556F,F556,F556 - 5600 W Flex,SF556,20,2019,2050,4,SF556
SL570F,F570,F570 - 7000 S Flex,SF570,64,2019,2050,4,SF570
SL578F,F578,F578 - 7800 S Flex,SF578,38,2019,2050,4,SF578
SL590F,F590,F590 - 9000 S Flex,SF590,54,2019,2050,4,SF590
SL672X,672X,672X - Riverdale Express,S672X,23,2028,2050,6,S672X
SL673X,673X,673X - South Weber Express,S673X,23,2028,2050,6,S673X
SU001,001,001 - Rose Park/South Temple,S001,50,2023,2050,4,S001
SU902,902,902 - PC-SLC Connect,S902,5,2019,2050,6,S902
TO451X,451X,451X - Tooele Express,S451X,14,2019,2050,6,S451X
TO454,454,454 - Grantsville - Salt Lake,S454,30,2019,2050,4,S454
UT805,805,805 - Santaquin-Payson-Spanish Fork-Provo Station-UVU,M805_Santaquin,26,2019,2050,4,M805_Santaquin
UT806,806,806 - Eagle MTN-Saratoga Springs-Lehi Station-UVU,M806_EglMtn,14,2019,2050,4,M806_EglMtn
UT807,807,807 - North County-Lehi Station-UVU,M807_NoCnty,14,2019,2050,4,M807_NoCnty
UT809,809,809 - Pleasant Grove-American Fork,M809_AMPG,4,2019,2024,4,M809_AMPG
UT809,809,809 - Pleasant Grove-American Fork,M809_AM-PG,4,2019,2024,4,M809_AM-PG
UT809F,F809,F809 - Pleasant Grove-American Fork Flex,MF809,8,2028,2050,4,MF809
UT821,821,821 - South County - Provo Station,M821_Psn,52,2019,2050,4,M821_Psn
UT821.1,821,821 - South County - Provo Station - 2023 5 Yr,M821_5YR2023,20,2028,2050,4,M821_5YR2023
UT822,822,822 - South Utah County-BYU-UVU Limited,M822_Psn,52,2019,2050,4,M822_Psn
UT823,823,832 - Springville,M823_5RY2023,40,2028,2050,4,M823_5RY2023
UT830X,830X,830X - UVX,BRT_ProOrm,50,2019,2050,9,BRT_ProOrm
UT830X,830X,830X - UVX,BRT_ProOrm,50,2019,2050,9,830X
UT830X.1,830,830X - UVX Airport,M830X_ARPT,32,2028,2050,9,M830X_ARPT
UT831,831,831 - Provo Grandview,M831_WPr,52,2019,2050,4,M831_WPr
UT833,833,833 - Airport - Provo Station,M833_CntPr,26,2019,2050,4,M833_CntPr
UT834,834,834 - Riverwoods - Provo Station,M834_EstPr,52,2019,2050,4,M834_EstPr
UT841,841,841 - Orem Central Station,M841_UVU,36,2019,2050,4,M841_UVU
UT850,850,850 - State Street,M850_StateStreet,14,2019,2050,4,M850_StateStreet
UT862,862,862 - Orem East-West,M862_Orem,52,2019,2050,4,M862_Orem
UT864,864,864 - Lehi Station - Thanksgiving Point,M864_ThanksgivingPnt,24,2019,2050,4,M864_ThanksgivingPnt
UT871,871,871 - Tech Corridor Rail Connector,M871_SLtoUtahCnty,26,2019,2050,4,M871_SLtoUtahCnty
WE472X,472X,472X - Ogden - Salt Lake Express,S472X,7,2019,2050,6,S472X
WE473X,473X,473X - SLC - Ogden Hwy 89 Express,S473X,7,2019,2050,6,S473X
WE600,600,600 - Ogden - Farmington via Roy,O600,13,2028,2050,4,O600
WE601,601,601 - Ogden Trolley,O601,32,2019,2050,4,O601
WE603,603,603 - Weber State University-McKay Dee,O603,56,2019,2050,4,O603
WE604,604,604 - West Ogden,O604,64,2019,2050,4,O604
WE606,606,606 - Enable Industries-Monroe Blvd,O606,39,2019,2050,4,O606
WE607,607,607 - Southern Weber,O607,23,2028,2050,4,O607
WE608,608,608 - DTSI - 2nd Street,O608,14,2019,2050,4,O608
WE609,609,609 - Ogden - Farmington via US-89,O609,23,2028,2050,4,O609
WE612,612,612 - Washington Blvd,O612,44,2019,2050,4,O612
WE613,613,613 - Weber Industrial Park,O613,18,2019,2050,4,O613
WE614,614,614 - Monroe Blvd - West,O614,46,2028,2050,4,O614
WE615,615,615 - Harrison,O615,46,2028,2050,4,O615
WE616,616,616 - North Weber FrontRunner Shuttle,O616,4,2019,2024,4,O616
WE618F,F618,F618 - Ogden BDO Flex,OF618,64,2019,2050,4,OF618
WE620F,F620,F620 - West Haven Flex,OF620,32,2019,2050,4,OF620
WE625,625,625 - ATC - Harrison Blvd - WSU,O625,9,2019,2050,4,O625
WE627,627,627 - WSU Davis-DTC,O627,64,2019,2050,4,O627
WE628,628,628 - Midtown Trolley,O628,64,2019,2050,4,O628
WE638F,F638,F638 - The Brigham City,OF638,64,2019,2050,4,OF638
WE645,645,645 - Monroe Blvd - East,O645,18,2019,2050,4,O645
WE650,650,650 - Ogden FrontRunner - WSU Fast Bus,O650,14,2019,2050,4,O650
WE667,667,667 - Lagoon/Station Park Shuttle,O667,32,2019,2050,4,O667
WFRC_001,,WFRC_001 - 1300So,1300So,10,2050,2050,4,1300So
WFRC_002,,WFRC_002 - 1700So,1700So,22,2042,2050,5,1700So
WFRC_003,,WFRC_003 - 200So_2,200So_2,32,2024,2050,5,200So_2
WFRC_004,,WFRC_004 - 200So_Core,200So_Core,6,2030,2050,5,200So_Core
WFRC_005,,WFRC_005 - 300W,300W,32,2032,2050,5,300W
WFRC_006,,WFRC_006 - 3900S,3900S,18,2040,2050,5,3900S
WFRC_007,,WFRC_007 - 400SoCore,400SoCore,6,2030,2050,5,400SoCore
WFRC_008,,WFRC_008 - 500E_2,500E_2,36,2030,2050,5,500E_2
WFRC_009,,WFRC_009 - 5400S,5400S,36,2030,2050,5,5400S
WFRC_010,,WFRC_010 - 7800FtUn_3,7800FtUn_3,24,2040,2050,5,7800FtUn_3
WFRC_011,,WFRC_011 - 9000S,9000S,2,2050,2050,5,9000S
WFRC_012,,WFRC_012 - 900E_2,900E_2,36,2030,2050,5,900E_2
WFRC_013,,WFRC_013 - 900So,900So,38,2024,2050,5,900So
WFRC_014,,WFRC_014 - 900W,900W,2,2050,2050,5,900W
WFRC_015,,WFRC_015 - Blue_Ext,Blue_Ext,2,2050,2050,7,Blue_Ext
WFRC_016,,WFRC_016 - Brig_Ex,Brig_Ex,2,2050,2050,6,Brig_Ex
WFRC_017,,WFRC_017 - BRT_2700W_T,BRT_2700W_T,12,2050,2050,4,BRT_2700W_T
WFRC_019,,WFRC_019 - BRT_State850,BRT_State850,1,2042,2042,9,BRT_State850
WFRC_020,,WFRC_020 - BRT_StateSt,BRT_StateSt,7,2030,2050,9,BRT_StateSt
WFRC_022,,WFRC_022 - BRTWSU_S,BRTWSU_S,4,2024,2050,9,BRTWSU_S
WFRC_023,,WFRC_023 - BRT104th_2,BRT104th_2,12,2050,2050,4,BRT104th_2
WFRC_024,,WFRC_024 - BRT123RD_A,BRT123RD_A,6,2050,2050,4,BRT123RD_A
WFRC_025,,WFRC_025 - BRT1300E_T,BRT1300E_T,12,2042,2050,5,BRT1300E_T
WFRC_026,,WFRC_026 - BRT3533S_Core,BRT3533S_Core,36,2030,2050,5,BRT3533S_Core
WFRC_027,,WFRC_027 - BRT47S_S,BRT47S_S,6,2030,2050,9,BRT47S_S
WFRC_028,,WFRC_028 - BRT56_R,BRT56_R,18,2030,2050,5,BRT56_R
WFRC_029,,WFRC_029 - BRT62S_T1,BRT62S_T1,10,2050,2050,5,BRT62S_T1
WFRC_030,,WFRC_030 - BRTFTHLWA_N,BRTFTHLWA_N,18,2030,2050,5,BRTFTHLWA_N
WFRC_031,,WFRC_031 - BRTFTHLWA_S39,BRTFTHLWA_S39,1,2050,2050,6,BRTFTHLWA_S39
WFRC_032,,WFRC_032 - BRTNRedwd_T,BRTNRedwd_T,16,2030,2050,4,BRTNRedwd_T
WFRC_033,,WFRC_033 - BRTNSDA_R,BRTNSDA_R,17,2032,2050,5,BRTNSDA_R
WFRC_034,,WFRC_034 - BRTRdwd_South,BRTRdwd_South,7,2040,2050,4,BRTRdwd_South
WFRC_035,,WFRC_035 - BRTRdwd_T,BRTRdwd_T,18,2030,2050,5,BRTRdwd_T
WFRC_036,,WFRC_036 - BRTWash_R,BRTWash_R,12,2042,2050,5,BRTWash_R
WFRC_037,,WFRC_037 - Cedar_Exp,Cedar_Exp,10,2032,2050,4,Cedar_Exp
WFRC_038,,WFRC_038 - CG_BRT_S1,CG_BRT_S1,15,2032,2050,9,CG_BRT_S1
WFRC_039,,WFRC_039 - Clear,Clear,10,2042,2050,5,Clear
WFRC_040,,WFRC_040 - ClearRoyWest,ClearRoyWest,12,2050,2050,4,ClearRoyWest
WFRC_047,,WFRC_047 - DavisSLCCon,DavisSLCCon,2,2024,2030,9,DavisSLCCon
WFRC_048,,WFRC_048 - FthlDr2100,FthlDr2100,38,2024,2050,5,FthlDr2100
WFRC_049,,WFRC_049 - HinckleyUnion,HinckleyUnion,6,2050,2050,5,HinckleyUnion
WFRC_050,,WFRC_050 - LakePark,LakePark,20,2042,2050,5,LakePark
WFRC_051,,WFRC_051 - LittleCott,LittleCott,18,2032,2050,5,LittleCott
WFRC_053,,WFRC_053 - MidValCon,MidValCon,46,2028,2050,5,MidValCon
WFRC_054,,WFRC_054 - MTTrolley,MTTrolley,10,2050,2050,4,MTTrolley
WFRC_055,,WFRC_055 - Orange,Orange,12,2042,2050,7,Orange
WFRC_074,,WFRC_074 - PlsntClear,PlsntClear,26,2030,2050,5,PlsntClear
WFRC_075,,WFRC_075 - RDELTA2U_R,RDELTA2U_R,14,2032,2050,7,RDELTA2U_R
WFRC_076,,WFRC_076 - RGRANSUG_U,RGRANSUG_U,18,2032,2050,7,RGRANSUG_U
WFRC_078,,WFRC_078 - ShldSego_3,ShldSego_3,10,2050,2050,4,ShldSego_3
WFRC_079,,WFRC_079 - Sline_Ext,Sline_Ext,2,2050,2050,7,Sline_Ext
WFRC_080,,WFRC_080 - Sline_Mill,Sline_Mill,22,2032,2050,5,Sline_Mill
WFRC_081,,WFRC_081 - SoJoSandyC,SoJoSandyC,13,2030,2050,5,SoJoSandyC
WFRC_082,,WFRC_082 - StGrid_2,StGrid_2,30,2030,2050,5,StGrid_2
WFRC_083,,WFRC_083 - StGrid_2_BRT,StGrid_2_BRT,24,2032,2050,9,StGrid_2_BRT
WFRC_084,,WFRC_084 - StGrid_2_Core,StGrid_2_Core,4,2032,2032,5,StGrid_2_Core
WFRC_085,,WFRC_085 - TooeleCor,TooeleCor,1,2050,2050,6,TooeleCor
WFRC_086,,WFRC_086 - WDraperCon,WDraperCon,2,2050,2050,5,WDraperCon
